,,,,,,,"Financial Year","2022-23","2022-23 - RSE","2022-23 - Annotations",
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",14228,0.00,,
,,,,,,,"Yes",1085,0.00,,
,,,,,,,"Total",15313,0.00,,
,,,,"£300 - £399.99","Social renting","Working-age","No or none",5677,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5677,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",5677,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5677,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",10718,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",10718,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",10718,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",10718,0.00,,
,,,,,"Owned outright","Working-age","No or none",18298,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",18298,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",18298,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",18298,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",48234,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",48234,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",48234,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",48234,0.00,,
,,,,,"Total","Working-age","No or none",82927,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",82927,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",82927,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",82927,0.00,,
,,,,"£400 - £499.99","Social renting","Working-age","No or none",28125,0.00,,
,,,,,,,"Yes",1016,0.00,,
,,,,,,,"Total",29141,0.00,,
,,,,,,"Pensioner (spa)","No or none",583,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",583,0.00,,
,,,,,,"Total","No or none",28708,0.00,,
,,,,,,,"Yes",1016,0.00,,
,,,,,,,"Total",29724,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",11430,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",11430,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",11430,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",11430,0.00,,
,,,,,"Owned outright","Working-age","No or none",20514,0.00,,
,,,,,,,"Yes",2196,0.00,,
,,,,,,,"Total",22710,0.00,,
,,,,,,"Pensioner (spa)","No or none",3252,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3252,0.00,,
,,,,,,"Total","No or none",23766,0.00,,
,,,,,,,"Yes",2196,0.00,,
,,,,,,,"Total",25962,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",65839,0.00,,
,,,,,,,"Yes",2647,0.00,,
,,,,,,,"Total",68486,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",65839,0.00,,
,,,,,,,"Yes",2647,0.00,,
,,,,,,,"Total",68486,0.00,,
,,,,,"Total","Working-age","No or none",125908,0.00,,
,,,,,,,"Yes",5859,0.00,,
,,,,,,,"Total",131767,0.00,,
,,,,,,"Pensioner (spa)","No or none",3835,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3835,0.00,,
,,,,,,"Total","No or none",129743,0.00,,
,,,,,,,"Yes",5859,0.00,,
,,,,,,,"Total",135602,0.00,,
,,,,"£500 or more","Social renting","Working-age","No or none",8174,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",8174,0.00,,
,,,,,,"Pensioner (spa)","No or none",602,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",602,0.00,,
,,,,,,"Total","No or none",8776,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",8776,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",22379,0.00,,
,,,,,,,"Yes",2352,0.00,,
,,,,,,,"Total",24731,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",22379,0.00,,
,,,,,,,"Yes",2352,0.00,,
,,,,,,,"Total",24731,0.00,,
,,,,,"Owned outright","Working-age","No or none",41037,0.00,,
,,,,,,,"Yes",4060,0.00,,
,,,,,,,"Total",45097,0.00,,
,,,,,,"Pensioner (spa)","No or none",5061,0.00,,
,,,,,,,"Yes",1154,0.00,,
,,,,,,,"Total",6215,0.00,,
,,,,,,"Total","No or none",46098,0.00,,
,,,,,,,"Yes",5214,0.00,,
,,,,,,,"Total",51312,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",122268,0.00,,
,,,,,,,"Yes",2426,0.00,,
,,,,,,,"Total",124694,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",122268,0.00,,
,,,,,,,"Yes",2426,0.00,,
,,,,,,,"Total",124694,0.00,,
,,,,,"Total","Working-age","No or none",193858,0.00,,
,,,,,,,"Yes",8838,0.00,,
,,,,,,,"Total",202696,0.00,,
,,,,,,"Pensioner (spa)","No or none",5663,0.00,,
,,,,,,,"Yes",1154,0.00,,
,,,,,,,"Total",6817,0.00,,
,,,,,,"Total","No or none",199521,0.00,,
,,,,,,,"Yes",9992,0.00,,
,,,,,,,"Total",209513,0.00,,
,,,"North West (E12000002)","Less than £50","Social renting","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",5310,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5310,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",5310,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5310,0.00,,
,,,,,"Owned outright","Working-age","No or none",5533,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5533,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",5533,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5533,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",5757,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5757,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",5757,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5757,0.00,,
,,,,,"Total","Working-age","No or none",16600,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",16600,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",16600,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",16600,0.00,,
,,,,"£50 - £99.99","Social renting","Working-age","No or none",2385,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2385,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2385,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2385,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",945,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",945,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",945,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",945,0.00,,
,,,,,"Owned outright","Working-age","No or none",4606,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",4606,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",4606,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",4606,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",1281,0.00,,
